instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170725,20170724,183513500,3201.0,0,90488,0.0,0.0,0,0.0,0
rb1805,20170725,20170724,205900500,3200.0,22,90470,704000.0,3203.0,2,3200.0,3
rb1805,20170725,20170724,210000500,3203.0,26,90474,832120.0,3204.0,5,3202.0,2
rb1805,20170725,20170724,210001000,3204.0,30,90474,960280.0,3204.0,3,3202.0,2
rb1805,20170725,20170724,210001500,3204.0,38,90476,1216520.0,3204.0,1,3202.0,5
rb1805,20170725,20170724,210002000,3204.0,40,90476,1280600.0,3205.0,1,3204.0,1
rb1805,20170725,20170724,210002500,3205.0,42,90478,1344700.0,3209.0,2,3203.0,1
rb1805,20170725,20170724,210003000,3205.0,42,90478,1344700.0,3208.0,1,3203.0,13
rb1805,20170725,20170724,210003500,3205.0,42,90478,1344700.0,3208.0,1,3203.0,15
rb1805,20170725,20170724,210004000,3205.0,42,90478,1344700.0,3208.0,1,3203.0,15
rb1805,20170725,20170724,210004500,3208.0,44,90478,1408860.0,3209.0,2,3208.0,2
rb1805,20170725,20170724,210005000,3209.0,48,90478,1537220.0,3210.0,2,3209.0,1
rb1805,20170725,20170724,210005500,3209.0,50,90478,1601400.0,3208.0,6,3204.0,1
rb1805,20170725,20170724,210006000,3208.0,52,90478,1665560.0,3208.0,5,3205.0,2
rb1805,20170725,20170724,210006500,3208.0,52,90478,1665560.0,3208.0,5,3204.0,1
rb1805,20170725,20170724,210007000,3208.0,52,90478,1665560.0,3208.0,5,3205.0,3
rb1805,20170725,20170724,210007500,3208.0,54,90476,1729720.0,3208.0,5,3205.0,3
rb1805,20170725,20170724,210008000,3208.0,54,90476,1729720.0,3208.0,5,3205.0,3
rb1805,20170725,20170724,210008500,3208.0,54,90476,1729720.0,3207.0,1,3204.0,1
rb1805,20170725,20170724,210009000,3208.0,56,90476,1793880.0,3208.0,5,3204.0,1
rb1805,20170725,20170724,210009500,3208.0,56,90476,1793880.0,3208.0,5,3204.0,1
rb1805,20170725,20170724,210010000,3208.0,56,90476,1793880.0,3208.0,5,3204.0,4
rb1805,20170725,20170724,210010500,3208.0,56,90476,1793880.0,3208.0,5,3205.0,2
rb1805,20170725,20170724,210011000,3208.0,56,90476,1793880.0,3208.0,5,3204.0,1
rb1805,20170725,20170724,210011500,3208.0,56,90476,1793880.0,3208.0,5,3204.0,1
rb1805,20170725,20170724,210012000,3208.0,58,90476,1858040.0,3208.0,4,3205.0,2
rb1805,20170725,20170724,210012500,3208.0,58,90476,1858040.0,3208.0,4,3204.0,1
rb1805,20170725,20170724,210014000,3208.0,58,90476,1858040.0,3208.0,4,3204.0,1
rb1805,20170725,20170724,210014500,3208.0,58,90476,1858040.0,3208.0,4,3204.0,1
rb1805,20170725,20170724,210015000,3208.0,58,90476,1858040.0,3208.0,4,3204.0,1
rb1805,20170725,20170724,210016000,3208.0,60,90476,1922200.0,3208.0,3,3204.0,1
