instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20171017,20171016,183112500,3661.0,0,600870,0.0,0.0,0,0.0,0
rb1805,20171017,20171016,205900500,3660.0,226,600988,8271600.0,3661.0,5,3660.0,13
rb1805,20171017,20171016,210000500,3664.0,674,601124,24684220.0,3665.0,14,3664.0,207
rb1805,20171017,20171016,210001000,3665.0,806,601184,29522320.0,3667.0,17,3665.0,197
rb1805,20171017,20171016,210001500,3667.0,868,601212,31795540.0,3668.0,53,3667.0,39
rb1805,20171017,20171016,210002000,3665.0,1102,601370,40375760.0,3668.0,12,3665.0,168
rb1805,20171017,20171016,210002500,3665.0,1288,601376,47193100.0,3666.0,1,3665.0,84
rb1805,20171017,20171016,210003000,3666.0,1566,601358,57383640.0,3668.0,10,3666.0,3
rb1805,20171017,20171016,210003500,3666.0,1596,601378,58483420.0,3667.0,1,3666.0,46
rb1805,20171017,20171016,210004000,3667.0,1640,601402,60097380.0,3670.0,30,3667.0,3
rb1805,20171017,20171016,210004500,3667.0,1684,601442,61710900.0,3669.0,19,3667.0,4
rb1805,20171017,20171016,210005000,3667.0,1706,601460,62517760.0,3667.0,10,3666.0,41
rb1805,20171017,20171016,210005500,3668.0,1752,601450,64204740.0,3668.0,8,3667.0,37
rb1805,20171017,20171016,210006000,3665.0,2108,601458,77258000.0,3665.0,48,3664.0,195
rb1805,20171017,20171016,210006500,3667.0,2256,601570,82683300.0,3668.0,1,3667.0,3
rb1805,20171017,20171016,210007000,3668.0,2296,601556,84150180.0,3668.0,33,3667.0,10
rb1805,20171017,20171016,210007500,3668.0,2392,601540,87671460.0,3669.0,7,3667.0,20
rb1805,20171017,20171016,210008000,3669.0,2424,601548,88845260.0,3669.0,12,3668.0,4
rb1805,20171017,20171016,210008500,3668.0,2454,601558,89945780.0,3669.0,6,3668.0,3
rb1805,20171017,20171016,210009000,3668.0,2498,601564,91559620.0,3669.0,7,3668.0,7
rb1805,20171017,20171016,210009500,3670.0,2526,601568,92586720.0,3670.0,83,3669.0,197
rb1805,20171017,20171016,210010000,3669.0,2602,601614,95375280.0,3670.0,77,3669.0,165
rb1805,20171017,20171016,210010500,3670.0,2758,601670,101099120.0,3670.0,69,3669.0,111
