instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170929,20170928,183329500,3470.0,0,503824,0.0,0.0,0,0.0,0
rb1805,20170929,20170928,205900500,3475.0,166,503848,5768500.0,3475.0,7,3473.0,1
rb1805,20170929,20170928,210000500,3475.0,434,503896,15084800.0,3477.0,6,3475.0,15
rb1805,20170929,20170928,210001000,3481.0,700,503764,24334880.0,3481.0,48,3477.0,17
rb1805,20170929,20170928,210001500,3480.0,1192,503652,41457720.0,3480.0,8,3478.0,1
rb1805,20170929,20170928,210002000,3475.0,1480,503768,51470180.0,3477.0,7,3475.0,1
rb1805,20170929,20170928,210002500,3475.0,1490,503774,51817680.0,3476.0,40,3473.0,10
rb1805,20170929,20170928,210003000,3475.0,1530,503748,53207320.0,3475.0,8,3473.0,11
rb1805,20170929,20170928,210003500,3475.0,1582,503726,55013880.0,3474.0,19,3472.0,81
rb1805,20170929,20170928,210004000,3473.0,1606,503720,55847440.0,3474.0,27,3472.0,76
rb1805,20170929,20170928,210004500,3474.0,1628,503710,56611460.0,3474.0,28,3472.0,71
rb1805,20170929,20170928,210005000,3472.0,1806,503592,62791540.0,3473.0,210,3472.0,7
rb1805,20170929,20170928,210005500,3472.0,1856,503620,64527500.0,3472.0,113,3470.0,22
rb1805,20170929,20170928,210006000,3471.0,1990,503576,69176740.0,3471.0,25,3470.0,1
rb1805,20170929,20170928,210006500,3470.0,2060,503552,71605760.0,3470.0,81,3468.0,67
rb1805,20170929,20170928,210007000,3470.0,2098,503556,72924340.0,3470.0,71,3469.0,13
rb1805,20170929,20170928,210007500,3469.0,2278,503538,79170900.0,3470.0,18,3469.0,44
rb1805,20170929,20170928,210008000,3470.0,2322,503544,80697740.0,3471.0,6,3470.0,46
rb1805,20170929,20170928,210008500,3470.0,2346,503552,81530720.0,3471.0,3,3470.0,37
rb1805,20170929,20170928,210009000,3471.0,2374,503566,82502600.0,3472.0,11,3471.0,78
rb1805,20170929,20170928,210009500,3471.0,2418,503540,84030000.0,3472.0,2,3471.0,66
rb1805,20170929,20170928,210010000,3471.0,2444,503522,84932460.0,3472.0,2,3471.0,54
rb1805,20170929,20170928,210010500,3471.0,2454,503526,85279640.0,3473.0,212,3472.0,1
rb1805,20170929,20170928,210011000,3472.0,2482,503520,86251680.0,3472.0,21,3471.0,30
rb1805,20170929,20170928,210011500,3472.0,2534,503518,88057040.0,3473.0,212,3472.0,4
