instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170721,20170720,183026500,3200.0,0,89340,0.0,0.0,0,0.0,0
rb1805,20170721,20170720,205900500,3202.0,28,89326,896560.0,3202.0,1,3200.0,6
rb1805,20170721,20170720,210000500,3205.0,40,89334,1281100.0,3204.0,8,3203.0,72
rb1805,20170721,20170720,210001000,3203.0,66,89354,2113940.0,3204.0,5,3203.0,67
rb1805,20170721,20170720,210001500,3204.0,98,89384,3139020.0,3204.0,4,3203.0,55
rb1805,20170721,20170720,210002000,3204.0,100,89382,3203100.0,3208.0,3,3204.0,2
rb1805,20170721,20170720,210002500,3203.0,104,89386,3331220.0,3207.0,4,3203.0,48
rb1805,20170721,20170720,210003500,3203.0,104,89386,3331220.0,3207.0,4,3204.0,2
rb1805,20170721,20170720,210004000,3203.0,104,89386,3331220.0,3207.0,4,3204.0,2
rb1805,20170721,20170720,210004500,3207.0,106,89386,3395360.0,3207.0,3,3203.0,48
rb1805,20170721,20170720,210005000,3203.0,112,89392,3587540.0,3207.0,3,3203.0,45
rb1805,20170721,20170720,210005500,3203.0,112,89392,3587540.0,3207.0,15,3203.0,45
rb1805,20170721,20170720,210006000,3203.0,112,89392,3587540.0,3207.0,15,3203.0,46
rb1805,20170721,20170720,210006500,3207.0,114,89392,3651680.0,3207.0,15,3203.0,46
rb1805,20170721,20170720,210007000,3207.0,114,89392,3651680.0,3207.0,16,3203.0,46
rb1805,20170721,20170720,210007500,3207.0,114,89392,3651680.0,3207.0,16,3203.0,46
rb1805,20170721,20170720,210008000,3207.0,114,89392,3651680.0,3207.0,16,3203.0,46
rb1805,20170721,20170720,210008500,3207.0,146,89420,4676720.0,3207.0,22,3203.0,31
rb1805,20170721,20170720,210009000,3207.0,148,89418,4740860.0,3207.0,14,3203.0,31
rb1805,20170721,20170720,210009500,3207.0,150,89418,4805000.0,3206.0,1,3203.0,32
rb1805,20170721,20170720,210010000,3207.0,160,89422,5125700.0,3207.0,13,3204.0,1
rb1805,20170721,20170720,210010500,3207.0,160,89422,5125700.0,3206.0,1,3204.0,1
rb1805,20170721,20170720,210011500,3207.0,160,89422,5125700.0,3206.0,1,3204.0,1
rb1805,20170721,20170720,210012000,3204.0,162,89420,5189780.0,3204.0,1,3203.0,30
rb1805,20170721,20170720,210012500,3207.0,170,89420,5446260.0,3204.0,2,3203.0,31
rb1805,20170721,20170720,210013000,3207.0,170,89420,5446260.0,3204.0,2,3203.0,31
rb1805,20170721,20170720,210013500,3207.0,170,89420,5446260.0,3204.0,2,3203.0,31
rb1805,20170721,20170720,210014000,3204.0,172,89422,5510340.0,3204.0,1,3203.0,30
rb1805,20170721,20170720,210014500,3203.0,200,89450,6407180.0,3204.0,1,3203.0,16
rb1805,20170721,20170720,210015000,3204.0,206,89456,6599380.0,3207.0,9,3204.0,1
rb1805,20170721,20170720,210015500,3204.0,206,89456,6599380.0,3207.0,16,3204.0,1
rb1805,20170721,20170720,210016000,3204.0,206,89456,6599380.0,3206.0,1,3204.0,4
rb1805,20170721,20170720,210016500,3204.0,206,89456,6599380.0,3206.0,1,3205.0,2
rb1805,20170721,20170720,210017000,3204.0,206,89456,6599380.0,3206.0,1,3205.0,2
rb1805,20170721,20170720,210017500,3204.0,206,89456,6599380.0,3206.0,1,3205.0,2
rb1805,20170721,20170720,210018000,3205.0,210,89456,6727600.0,3207.0,11,3205.0,1
rb1805,20170721,20170720,210018500,3205.0,210,89456,6727600.0,3207.0,9,3205.0,2
rb1805,20170721,20170720,210019000,3205.0,210,89456,6727600.0,3207.0,9,3205.0,2
rb1805,20170721,20170720,210019500,3205.0,212,89456,6791700.0,3207.0,9,3205.0,1
rb1805,20170721,20170720,210020000,3205.0,212,89456,6791700.0,3206.0,2,3205.0,1
rb1805,20170721,20170720,210020500,3206.0,216,89452,6919940.0,3207.0,9,3206.0,3
rb1805,20170721,20170720,210021000,3205.0,224,89444,7176460.0,3207.0,6,3204.0,7
rb1805,20170721,20170720,210021500,3205.0,224,89444,7176460.0,3206.0,5,3204.0,7
rb1805,20170721,20170720,210022000,3206.0,236,89432,7561180.0,3207.0,6,3204.0,7
rb1805,20170721,20170720,210022500,3206.0,236,89432,7561180.0,3207.0,9,3204.0,7
rb1805,20170721,20170720,210023000,3206.0,236,89432,7561180.0,3207.0,9,3204.0,7
rb1805,20170721,20170720,210023500,3206.0,236,89432,7561180.0,3207.0,9,3204.0,10
rb1805,20170721,20170720,210024000,3206.0,236,89432,7561180.0,3207.0,9,3204.0,14
rb1805,20170721,20170720,210024500,3207.0,238,89430,7625320.0,3207.0,8,3206.0,2
rb1805,20170721,20170720,210025000,3206.0,240,89430,7689440.0,3207.0,8,3206.0,1
rb1805,20170721,20170720,210026000,3206.0,240,89430,7689440.0,3207.0,8,3206.0,1
rb1805,20170721,20170720,210026500,3206.0,240,89430,7689440.0,3207.0,8,3206.0,1
rb1805,20170721,20170720,210027000,3208.0,262,89424,8395040.0,3210.0,3,3207.0,4
rb1805,20170721,20170720,210027500,3208.0,262,89424,8395040.0,3210.0,3,3207.0,6
rb1805,20170721,20170720,210028000,3207.0,264,89424,8459180.0,3210.0,3,3207.0,4
rb1805,20170721,20170720,210028500,3210.0,270,89420,8651780.0,3211.0,1,3210.0,15
rb1805,20170721,20170720,210029000,3210.0,270,89420,8651780.0,3211.0,1,3210.0,16
rb1805,20170721,20170720,210029500,3210.0,274,89420,8780180.0,3211.0,1,3210.0,14
rb1805,20170721,20170720,210030000,3211.0,276,89420,8844400.0,3212.0,3,3210.0,14
rb1805,20170721,20170720,210030500,3211.0,276,89420,8844400.0,3212.0,3,3210.0,15
rb1805,20170721,20170720,210031000,3211.0,276,89420,8844400.0,3212.0,3,3210.0,14
rb1805,20170721,20170720,210031500,3211.0,276,89420,8844400.0,3212.0,3,3210.0,14
rb1805,20170721,20170720,210032000,3211.0,276,89420,8844400.0,3212.0,3,3210.0,14
rb1805,20170721,20170720,210032500,3211.0,276,89420,8844400.0,3212.0,3,3210.0,14
rb1805,20170721,20170720,210033000,3211.0,276,89420,8844400.0,3212.0,4,3210.0,14
rb1805,20170721,20170720,210033500,3211.0,276,89420,8844400.0,3212.0,4,3210.0,1
rb1805,20170721,20170720,210035000,3212.0,284,89416,9101360.0,3213.0,4,3212.0,9
rb1805,20170721,20170720,210035500,3212.0,300,89406,9615280.0,3213.0,5,3212.0,1
rb1805,20170721,20170720,210036000,3212.0,302,89406,9679520.0,3212.0,1,3210.0,1
rb1805,20170721,20170720,210036500,3212.0,302,89406,9679520.0,3213.0,5,3210.0,1
rb1805,20170721,20170720,210037000,3212.0,302,89406,9679520.0,3213.0,6,3210.0,1
rb1805,20170721,20170720,210037500,3212.0,302,89406,9679520.0,3212.0,2,3210.0,1
rb1805,20170721,20170720,210038000,3212.0,306,89406,9807960.0,3212.0,1,3209.0,1
rb1805,20170721,20170720,210038500,3212.0,306,89406,9807960.0,3213.0,5,3212.0,1
rb1805,20170721,20170720,210039000,3212.0,312,89406,10000720.0,3213.0,3,3210.0,1
rb1805,20170721,20170720,210039500,3212.0,312,89406,10000720.0,3213.0,3,3210.0,2
rb1805,20170721,20170720,210040000,3212.0,312,89406,10000720.0,3213.0,3,3210.0,1
rb1805,20170721,20170720,210040500,3213.0,314,89404,10064980.0,3213.0,2,3210.0,2
rb1805,20170721,20170720,210041000,3210.0,316,89406,10129180.0,3212.0,6,3210.0,1
rb1805,20170721,20170720,210041500,3210.0,316,89406,10129180.0,3212.0,6,3210.0,1
rb1805,20170721,20170720,210042000,3210.0,316,89406,10129180.0,3212.0,6,3210.0,1
rb1805,20170721,20170720,210042500,3210.0,316,89406,10129180.0,3212.0,6,3210.0,1
rb1805,20170721,20170720,210043000,3210.0,316,89406,10129180.0,3212.0,6,3210.0,1
rb1805,20170721,20170720,210043500,3212.0,318,89406,10193420.0,3212.0,5,3210.0,8
rb1805,20170721,20170720,210044000,3212.0,318,89406,10193420.0,3211.0,1,3210.0,7
rb1805,20170721,20170720,210044500,3211.0,320,89406,10257640.0,3212.0,5,3210.0,8
rb1805,20170721,20170720,210045000,3212.0,324,89406,10386120.0,3212.0,3,3210.0,7
rb1805,20170721,20170720,210045500,3212.0,324,89406,10386120.0,3212.0,3,3210.0,9
rb1805,20170721,20170720,210046000,3210.0,344,89402,11028220.0,3212.0,3,3210.0,4
rb1805,20170721,20170720,210046500,3212.0,350,89402,11220940.0,3213.0,4,3212.0,1
rb1805,20170721,20170720,210047000,3212.0,350,89402,11220940.0,3213.0,5,3210.0,4
rb1805,20170721,20170720,210047500,3212.0,350,89402,11220940.0,3212.0,1,3210.0,6
rb1805,20170721,20170720,210048000,3212.0,352,89402,11285180.0,3213.0,5,3212.0,2
rb1805,20170721,20170720,210048500,3213.0,362,89398,11606480.0,3214.0,2,3212.0,1
rb1805,20170721,20170720,210049000,3213.0,362,89398,11606480.0,3214.0,2,3212.0,1
rb1805,20170721,20170720,210049500,3213.0,362,89398,11606480.0,3214.0,2,3212.0,1
rb1805,20170721,20170720,210050000,3213.0,362,89398,11606480.0,3214.0,2,3212.0,1
rb1805,20170721,20170720,210050500,3213.0,362,89398,11606480.0,3214.0,2,3213.0,1
rb1805,20170721,20170720,210051000,3213.0,364,89398,11670740.0,3214.0,2,3212.0,6
rb1805,20170721,20170720,210051500,3213.0,364,89398,11670740.0,3214.0,2,3212.0,6
rb1805,20170721,20170720,210052000,3213.0,364,89398,11670740.0,3214.0,2,3213.0,1
rb1805,20170721,20170720,210052500,3214.0,372,89402,11927820.0,3215.0,11,3214.0,1
rb1805,20170721,20170720,210053000,3213.0,376,89404,12056360.0,3214.0,3,3212.0,6
rb1805,20170721,20170720,210053500,3213.0,376,89404,12056360.0,3214.0,1,3212.0,6
rb1805,20170721,20170720,210054500,3214.0,378,89404,12120640.0,3215.0,11,3212.0,6
rb1805,20170721,20170720,210055000,3215.0,386,89398,12377840.0,3215.0,7,3212.0,6
rb1805,20170721,20170720,210055500,3215.0,386,89398,12377840.0,3215.0,7,3212.0,6
rb1805,20170721,20170720,210056000,3215.0,386,89398,12377840.0,3215.0,7,3213.0,1
rb1805,20170721,20170720,210056500,3215.0,386,89398,12377840.0,3215.0,7,3213.0,1
rb1805,20170721,20170720,210057000,3215.0,386,89398,12377840.0,3215.0,7,3213.0,1
rb1805,20170721,20170720,210057500,3215.0,386,89398,12377840.0,3215.0,7,3213.0,1
rb1805,20170721,20170720,210058000,3215.0,400,89402,12827940.0,3216.0,4,3215.0,3
rb1805,20170721,20170720,210058500,3215.0,406,89408,13020840.0,3215.0,4,3213.0,1
rb1805,20170721,20170720,210059000,3213.0,408,89408,13085100.0,3216.0,5,3212.0,6
rb1805,20170721,20170720,210059500,3213.0,408,89408,13085100.0,3215.0,4,3212.0,6
rb1805,20170721,20170720,210100000,3213.0,408,89408,13085100.0,3215.0,4,3212.0,6
rb1805,20170721,20170720,210101000,3213.0,408,89408,13085100.0,3215.0,4,3212.0,6
rb1805,20170721,20170720,210101500,3213.0,408,89408,13085100.0,3215.0,2,3213.0,3
rb1805,20170721,20170720,210102000,3213.0,408,89408,13085100.0,3215.0,4,3213.0,10
rb1805,20170721,20170720,210102500,3213.0,408,89408,13085100.0,3215.0,4,3213.0,11
rb1805,20170721,20170720,210103000,3213.0,412,89408,13213660.0,3215.0,3,3213.0,10
rb1805,20170721,20170720,210103500,3213.0,412,89408,13213660.0,3215.0,8,3213.0,10
rb1805,20170721,20170720,210104500,3213.0,412,89408,13213660.0,3215.0,8,3213.0,10
rb1805,20170721,20170720,210105000,3215.0,424,89404,13599340.0,3215.0,8,3213.0,7
rb1805,20170721,20170720,210105500,3215.0,424,89404,13599340.0,3216.0,5,3213.0,12
rb1805,20170721,20170720,210106000,3215.0,424,89404,13599340.0,3216.0,6,3213.0,12
rb1805,20170721,20170720,210107000,3215.0,424,89404,13599340.0,3216.0,13,3213.0,7
rb1805,20170721,20170720,210107500,3215.0,424,89404,13599340.0,3216.0,10,3214.0,2
rb1805,20170721,20170720,210108500,3215.0,424,89404,13599340.0,3215.0,2,3214.0,7
rb1805,20170721,20170720,210109000,3215.0,430,89404,13792220.0,3216.0,5,3214.0,6
rb1805,20170721,20170720,210109500,3215.0,430,89404,13792220.0,3215.0,4,3214.0,1
rb1805,20170721,20170720,210110000,3215.0,432,89406,13856520.0,3215.0,3,3214.0,1
rb1805,20170721,20170720,210110500,3215.0,432,89406,13856520.0,3215.0,3,3214.0,1
rb1805,20170721,20170720,210111000,3215.0,436,89410,13985120.0,3215.0,1,3214.0,1
rb1805,20170721,20170720,210111500,3215.0,438,89412,14049420.0,3216.0,6,3214.0,1
rb1805,20170721,20170720,210112500,3215.0,438,89412,14049420.0,3216.0,6,3215.0,1
rb1805,20170721,20170720,210113000,3215.0,438,89412,14049420.0,3216.0,6,3215.0,1
rb1805,20170721,20170720,210113500,3215.0,438,89412,14049420.0,3216.0,6,3215.0,1
rb1805,20170721,20170720,210114000,3215.0,438,89412,14049420.0,3216.0,6,3215.0,1
rb1805,20170721,20170720,210114500,3215.0,438,89412,14049420.0,3216.0,7,3215.0,1
rb1805,20170721,20170720,210115000,3215.0,440,89414,14113720.0,3215.0,2,3214.0,2
rb1805,20170721,20170720,210115500,3215.0,440,89414,14113720.0,3216.0,14,3214.0,2
rb1805,20170721,20170720,210116000,3215.0,440,89414,14113720.0,3216.0,16,3214.0,2
rb1805,20170721,20170720,210116500,3215.0,440,89414,14113720.0,3215.0,10,3214.0,2
rb1805,20170721,20170720,210117000,3215.0,440,89414,14113720.0,3215.0,10,3214.0,2
rb1805,20170721,20170720,210117500,3215.0,440,89414,14113720.0,3215.0,10,3214.0,2
rb1805,20170721,20170720,210118000,3215.0,442,89416,14178020.0,3215.0,9,3214.0,2
rb1805,20170721,20170720,210119000,3215.0,442,89416,14178020.0,3215.0,12,3214.0,2
rb1805,20170721,20170720,210119500,3215.0,442,89416,14178020.0,3215.0,12,3214.0,3
rb1805,20170721,20170720,210120000,3215.0,444,89418,14242320.0,3215.0,11,3214.0,3
rb1805,20170721,20170720,210120500,3214.0,448,89414,14370880.0,3215.0,8,3214.0,1
rb1805,20170721,20170720,210121000,3214.0,448,89414,14370880.0,3215.0,8,3214.0,1
rb1805,20170721,20170720,210121500,3215.0,452,89418,14499480.0,3215.0,6,3214.0,1
rb1805,20170721,20170720,210122000,3215.0,452,89418,14499480.0,3215.0,6,3214.0,1
rb1805,20170721,20170720,210123000,3214.0,454,89420,14563760.0,3214.0,4,3213.0,12
rb1805,20170721,20170720,210123500,3214.0,454,89420,14563760.0,3214.0,4,3213.0,7
rb1805,20170721,20170720,210124000,3214.0,456,89422,14628040.0,3214.0,3,3213.0,7
rb1805,20170721,20170720,210124500,3214.0,456,89422,14628040.0,3214.0,5,3213.0,7
rb1805,20170721,20170720,210125000,3214.0,456,89422,14628040.0,3214.0,5,3213.0,7
rb1805,20170721,20170720,210126000,3214.0,456,89422,14628040.0,3214.0,5,3213.0,7
rb1805,20170721,20170720,210126500,3214.0,456,89422,14628040.0,3214.0,61,3213.0,7
rb1805,20170721,20170720,210128500,3213.0,458,89424,14692300.0,3214.0,61,3213.0,6
rb1805,20170721,20170720,210129500,3213.0,458,89424,14692300.0,3214.0,10,3213.0,6
rb1805,20170721,20170720,210130000,3213.0,458,89424,14692300.0,3214.0,10,3213.0,7
rb1805,20170721,20170720,210131000,3214.0,460,89426,14756580.0,3214.0,4,3213.0,12
rb1805,20170721,20170720,210131500,3214.0,468,89426,15013700.0,3215.0,7,3214.0,2
rb1805,20170721,20170720,210132000,3214.0,468,89426,15013700.0,3215.0,7,3214.0,1
rb1805,20170721,20170720,210132500,3214.0,470,89426,15077980.0,3215.0,7,3213.0,12
rb1805,20170721,20170720,210133000,3213.0,494,89424,15849100.0,3213.0,44,3212.0,10
rb1805,20170721,20170720,210133500,3213.0,582,89386,18676540.0,3215.0,7,3213.0,8
rb1805,20170721,20170720,210134000,3213.0,582,89386,18676540.0,3215.0,7,3213.0,3
rb1805,20170721,20170720,210134500,3213.0,582,89386,18676540.0,3215.0,7,3213.0,3
rb1805,20170721,20170720,210135000,3213.0,582,89386,18676540.0,3213.0,1,3212.0,10
