instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170908,20170907,183407500,3846.0,0,305770,0.0,0.0,0,0.0,0
rb1805,20170908,20170907,205900500,3842.0,104,305824,3995680.0,3842.0,8,3841.0,23
rb1805,20170908,20170907,210000500,3842.0,174,305868,6684760.0,3843.0,48,3842.0,1
rb1805,20170908,20170907,210001000,3840.0,404,305802,15520280.0,3843.0,23,3839.0,1
rb1805,20170908,20170907,210001500,3840.0,518,305876,19900320.0,3843.0,29,3840.0,45
rb1805,20170908,20170907,210002000,3842.0,552,305862,21206860.0,3844.0,2,3843.0,3
rb1805,20170908,20170907,210002500,3841.0,624,305828,23973200.0,3841.0,8,3840.0,15
rb1805,20170908,20170907,210003000,3844.0,668,305804,25663560.0,3844.0,5,3843.0,7
rb1805,20170908,20170907,210003500,3843.0,752,305800,28891140.0,3843.0,4,3842.0,6
rb1805,20170908,20170907,210004000,3841.0,824,305816,31657340.0,3843.0,11,3841.0,8
rb1805,20170908,20170907,210004500,3844.0,888,305788,34117040.0,3845.0,12,3844.0,7
rb1805,20170908,20170907,210005000,3844.0,938,305788,36039320.0,3846.0,14,3845.0,1
rb1805,20170908,20170907,210005500,3846.0,1012,305782,38885080.0,3848.0,25,3846.0,1
rb1805,20170908,20170907,210006000,3848.0,1044,305770,40116400.0,3848.0,17,3846.0,9
rb1805,20170908,20170907,210006500,3847.0,1086,305786,41731900.0,3847.0,1,3846.0,9
rb1805,20170908,20170907,210007000,3847.0,1096,305794,42116520.0,3847.0,6,3845.0,8
rb1805,20170908,20170907,210007500,3847.0,1114,305794,42808700.0,3847.0,2,3845.0,13
rb1805,20170908,20170907,210008000,3848.0,1128,305804,43347280.0,3848.0,15,3846.0,3
rb1805,20170908,20170907,210008500,3847.0,1158,305788,44501620.0,3848.0,11,3847.0,8
rb1805,20170908,20170907,210009000,3848.0,1168,305794,44886380.0,3848.0,10,3847.0,14
rb1805,20170908,20170907,210009500,3848.0,1180,305800,45348140.0,3848.0,6,3847.0,15
rb1805,20170908,20170907,210010000,3848.0,1224,305790,47041100.0,3849.0,70,3847.0,32
rb1805,20170908,20170907,210010500,3848.0,1260,305804,48426260.0,3849.0,70,3848.0,90
rb1805,20170908,20170907,210011000,3848.0,1276,305808,49041940.0,3849.0,70,3848.0,84
rb1805,20170908,20170907,210011500,3848.0,1286,305816,49426760.0,3849.0,69,3848.0,82
rb1805,20170908,20170907,210012000,3848.0,1442,305810,55431060.0,3850.0,60,3849.0,8
rb1805,20170908,20170907,210012500,3850.0,1640,305666,63054820.0,3852.0,71,3850.0,32
rb1805,20170908,20170907,210013000,3854.0,2046,305368,78695960.0,3854.0,16,3852.0,32
rb1805,20170908,20170907,210013500,3852.0,2928,304988,112668180.0,3852.0,238,3850.0,14
rb1805,20170908,20170907,210014000,3852.0,3060,304970,117752500.0,3852.0,198,3850.0,5
rb1805,20170908,20170907,210014500,3850.0,3150,305016,121217980.0,3850.0,28,3849.0,59
rb1805,20170908,20170907,210015000,3850.0,3296,304954,126839040.0,3851.0,12,3850.0,57
rb1805,20170908,20170907,210015500,3850.0,3360,304996,129303720.0,3852.0,205,3851.0,2
rb1805,20170908,20170907,210016000,3850.0,3374,305008,129842820.0,3851.0,6,3850.0,2
rb1805,20170908,20170907,210016500,3849.0,3380,305008,130073800.0,3850.0,1,3849.0,16
rb1805,20170908,20170907,210017000,3849.0,3412,305020,131305520.0,3849.0,5,3848.0,91
rb1805,20170908,20170907,210017500,3850.0,3432,305010,132075400.0,3850.0,17,3848.0,94
rb1805,20170908,20170907,210018000,3848.0,3438,305014,132306300.0,3849.0,6,3848.0,87
rb1805,20170908,20170907,210018500,3849.0,3462,305032,133229980.0,3849.0,1,3848.0,88
rb1805,20170908,20170907,210019000,3849.0,3602,305040,138617220.0,3849.0,12,3848.0,20
rb1805,20170908,20170907,210019500,3848.0,3694,305066,142157380.0,3848.0,90,3847.0,22
rb1805,20170908,20170907,210020000,3847.0,3742,305078,144003940.0,3847.0,45,3846.0,7
rb1805,20170908,20170907,210020500,3846.0,3752,305080,144388540.0,3846.0,37,3845.0,14
rb1805,20170908,20170907,210021000,3845.0,3760,305086,144696180.0,3846.0,37,3845.0,12
rb1805,20170908,20170907,210021500,3845.0,3776,305092,145311480.0,3846.0,35,3845.0,9
rb1805,20170908,20170907,210022000,3845.0,3816,305088,146849860.0,3846.0,16,3845.0,18
rb1805,20170908,20170907,210022500,3845.0,3840,305082,147772840.0,3846.0,13,3845.0,16
rb1805,20170908,20170907,210023000,3845.0,3860,305086,148542020.0,3846.0,10,3845.0,15
rb1805,20170908,20170907,210023500,3846.0,3870,305086,148926620.0,3846.0,32,3845.0,20
rb1805,20170908,20170907,210024000,3845.0,3874,305084,149080440.0,3846.0,31,3845.0,21
rb1805,20170908,20170907,210024500,3845.0,3878,305084,149234260.0,3846.0,33,3845.0,21
rb1805,20170908,20170907,210025000,3846.0,3912,305094,150541620.0,3846.0,30,3845.0,7
rb1805,20170908,20170907,210025500,3845.0,3944,305086,151772020.0,3845.0,22,3844.0,43
rb1805,20170908,20170907,210026000,3844.0,3976,305102,153002400.0,3846.0,32,3844.0,42
rb1805,20170908,20170907,210026500,3845.0,4030,305146,155079100.0,3846.0,12,3845.0,10
rb1805,20170908,20170907,210027000,3845.0,4030,305146,155079100.0,3846.0,17,3845.0,18
rb1805,20170908,20170907,210027500,3845.0,4116,305122,158385660.0,3845.0,6,3844.0,30
rb1805,20170908,20170907,210028000,3846.0,4160,305116,160077800.0,3846.0,11,3845.0,1
rb1805,20170908,20170907,210028500,3844.0,4164,305120,160231580.0,3846.0,10,3844.0,42
rb1805,20170908,20170907,210029000,3844.0,4212,305104,162077440.0,3846.0,3,3844.0,43
rb1805,20170908,20170907,210029500,3844.0,4212,305104,162077440.0,3846.0,2,3845.0,6
rb1805,20170908,20170907,210030000,3844.0,4244,305124,163307640.0,3846.0,2,3845.0,12
rb1805,20170908,20170907,210030500,3846.0,4270,305104,164307600.0,3847.0,3,3845.0,12
rb1805,20170908,20170907,210031000,3845.0,4298,305112,165384220.0,3846.0,10,3845.0,4
rb1805,20170908,20170907,210031500,3845.0,4300,305112,165461120.0,3846.0,67,3845.0,4
rb1805,20170908,20170907,210032000,3845.0,4320,305114,166230120.0,3845.0,1,3844.0,40
rb1805,20170908,20170907,210032500,3845.0,4336,305128,166845380.0,3845.0,9,3844.0,46
rb1805,20170908,20170907,210033000,3845.0,4368,305136,168075540.0,3845.0,5,3844.0,39
rb1805,20170908,20170907,210033500,3845.0,4398,305126,169229080.0,3846.0,62,3845.0,17
rb1805,20170908,20170907,210034000,3845.0,4398,305126,169229080.0,3846.0,59,3845.0,23
rb1805,20170908,20170907,210034500,3846.0,4404,305130,169459820.0,3846.0,57,3845.0,16
rb1805,20170908,20170907,210035000,3846.0,4406,305132,169536740.0,3846.0,56,3845.0,11
rb1805,20170908,20170907,210035500,3845.0,4432,305134,170536440.0,3845.0,29,3844.0,53
rb1805,20170908,20170907,210036000,3844.0,4556,305096,175302840.0,3844.0,39,3843.0,1
rb1805,20170908,20170907,210036500,3844.0,4562,305100,175533480.0,3844.0,36,3843.0,1
rb1805,20170908,20170907,210037000,3842.0,4592,305126,176686540.0,3842.0,17,3841.0,30
rb1805,20170908,20170907,210037500,3841.0,4610,305136,177378080.0,3842.0,19,3841.0,30
rb1805,20170908,20170907,210038000,3841.0,4624,305140,177915860.0,3842.0,17,3841.0,29
rb1805,20170908,20170907,210038500,3841.0,4682,305156,180143640.0,3841.0,12,3840.0,29
rb1805,20170908,20170907,210039000,3841.0,4722,305158,181679980.0,3842.0,13,3841.0,5
rb1805,20170908,20170907,210039500,3841.0,4724,305158,181756800.0,3842.0,18,3841.0,4
rb1805,20170908,20170907,210040000,3842.0,4730,305160,181987320.0,3842.0,15,3841.0,5
rb1805,20170908,20170907,210040500,3841.0,4732,305160,182064140.0,3842.0,15,3841.0,13
rb1805,20170908,20170907,210041000,3841.0,4742,305162,182448240.0,3842.0,12,3841.0,24
rb1805,20170908,20170907,210041500,3842.0,4746,305164,182601920.0,3842.0,10,3841.0,35
rb1805,20170908,20170907,210042000,3841.0,4748,305164,182678740.0,3842.0,10,3841.0,34
rb1805,20170908,20170907,210042500,3841.0,4766,305174,183370220.0,3842.0,9,3841.0,34
rb1805,20170908,20170907,210043000,3843.0,4788,305192,184215480.0,3843.0,1,3842.0,38
rb1805,20170908,20170907,210043500,3843.0,4788,305192,184215480.0,3843.0,1,3842.0,38
rb1805,20170908,20170907,210044000,3843.0,4792,305188,184369200.0,3843.0,6,3842.0,43
rb1805,20170908,20170907,210044500,3843.0,4824,305198,185598960.0,3844.0,38,3842.0,44
rb1805,20170908,20170907,210045000,3844.0,4844,305212,186367700.0,3844.0,31,3843.0,3
rb1805,20170908,20170907,210045500,3843.0,4846,305214,186444560.0,3844.0,33,3842.0,41
rb1805,20170908,20170907,210046000,3843.0,4858,305226,186905700.0,3844.0,34,3843.0,12
rb1805,20170908,20170907,210046500,3844.0,4860,305226,186982580.0,3844.0,33,3843.0,29
rb1805,20170908,20170907,210047000,3843.0,4908,305208,188827220.0,3843.0,14,3842.0,44
rb1805,20170908,20170907,210047500,3843.0,4914,305210,189057800.0,3843.0,8,3842.0,45
rb1805,20170908,20170907,210048000,3843.0,4926,305220,189518940.0,3843.0,4,3842.0,44
rb1805,20170908,20170907,210048500,3843.0,4928,305222,189595800.0,3843.0,2,3842.0,44
rb1805,20170908,20170907,210049000,3843.0,4934,305218,189826380.0,3844.0,33,3843.0,5
rb1805,20170908,20170907,210049500,3844.0,4946,305218,190287660.0,3844.0,27,3843.0,5
rb1805,20170908,20170907,210050000,3844.0,4956,305218,190672040.0,3844.0,24,3843.0,7
rb1805,20170908,20170907,210050500,3844.0,4962,305216,190902660.0,3844.0,22,3843.0,6
rb1805,20170908,20170907,210051000,3844.0,4986,305222,191825020.0,3844.0,20,3843.0,11
rb1805,20170908,20170907,210051500,3844.0,5028,305222,193439500.0,3845.0,4,3844.0,24
rb1805,20170908,20170907,210052000,3845.0,5032,305224,193593280.0,3845.0,4,3844.0,17
rb1805,20170908,20170907,210052500,3843.0,5086,305248,195669040.0,3845.0,1,3844.0,1
rb1805,20170908,20170907,210053000,3845.0,5090,305252,195822820.0,3845.0,5,3844.0,5
rb1805,20170908,20170907,210053500,3843.0,5102,305252,196284080.0,3844.0,4,3843.0,9
rb1805,20170908,20170907,210054000,3843.0,5108,305250,196514660.0,3844.0,11,3843.0,1
rb1805,20170908,20170907,210054500,3843.0,5118,305246,196898960.0,3843.0,10,3842.0,55
rb1805,20170908,20170907,210055000,3843.0,5138,305238,197667560.0,3844.0,11,3843.0,7
rb1805,20170908,20170907,210055500,3843.0,5142,305238,197821300.0,3844.0,4,3843.0,15
rb1805,20170908,20170907,210056000,3845.0,5154,305234,198282600.0,3845.0,1,3844.0,4
rb1805,20170908,20170907,210056500,3844.0,5158,305230,198436360.0,3845.0,1,3844.0,4
rb1805,20170908,20170907,210057000,3844.0,5158,305230,198436360.0,3844.0,2,3843.0,20
rb1805,20170908,20170907,210057500,3843.0,5160,305230,198513220.0,3844.0,2,3843.0,20
rb1805,20170908,20170907,210058000,3843.0,5256,305244,202202760.0,3843.0,4,3842.0,74
rb1805,20170908,20170907,210058500,3843.0,5264,305250,202510200.0,3844.0,2,3842.0,75
rb1805,20170908,20170907,210059000,3843.0,5266,305252,202587060.0,3843.0,5,3842.0,68
rb1805,20170908,20170907,210059500,3843.0,5266,305252,202587060.0,3843.0,5,3842.0,68
rb1805,20170908,20170907,210100000,3842.0,5274,305252,202894420.0,3843.0,6,3842.0,64
rb1805,20170908,20170907,210100500,3843.0,5286,305258,203355580.0,3844.0,9,3843.0,42
rb1805,20170908,20170907,210101000,3844.0,5290,305258,203509340.0,3844.0,9,3843.0,36
rb1805,20170908,20170907,210101500,3845.0,5312,305254,204355020.0,3845.0,7,3843.0,37
rb1805,20170908,20170907,210102000,3845.0,5312,305254,204355020.0,3845.0,12,3843.0,44
rb1805,20170908,20170907,210102500,3845.0,5314,305254,204431920.0,3845.0,16,3844.0,1
rb1805,20170908,20170907,210103000,3845.0,5336,305256,205277760.0,3845.0,6,3843.0,48
rb1805,20170908,20170907,210103500,3844.0,5440,305242,209274560.0,3844.0,4,3843.0,2
rb1805,20170908,20170907,210104000,3844.0,5448,305238,209582020.0,3844.0,15,3843.0,15
rb1805,20170908,20170907,210104500,3844.0,5452,305240,209735780.0,3844.0,18,3843.0,16
rb1805,20170908,20170907,210105000,3844.0,5456,305240,209889520.0,3844.0,19,3843.0,15
rb1805,20170908,20170907,210105500,3844.0,5462,305242,210120160.0,3844.0,11,3843.0,15
rb1805,20170908,20170907,210106000,3844.0,5470,305250,210427640.0,3844.0,11,3843.0,19
rb1805,20170908,20170907,210106500,3844.0,5476,305250,210658260.0,3844.0,4,3843.0,18
rb1805,20170908,20170907,210107000,3844.0,5494,305248,211350180.0,3845.0,25,3843.0,23
rb1805,20170908,20170907,210107500,3844.0,5498,305252,211503920.0,3844.0,3,3843.0,23
rb1805,20170908,20170907,210108000,3843.0,5546,305210,213348560.0,3844.0,45,3843.0,1
rb1805,20170908,20170907,210108500,3843.0,5548,305210,213425420.0,3843.0,18,3842.0,73
rb1805,20170908,20170907,210109000,3843.0,5548,305210,213425420.0,3843.0,18,3842.0,74
rb1805,20170908,20170907,210109500,3843.0,5548,305210,213425420.0,3843.0,30,3842.0,75
rb1805,20170908,20170907,210110000,3842.0,5552,305214,213579100.0,3843.0,32,3842.0,79
rb1805,20170908,20170907,210110500,3843.0,5620,305176,216192340.0,3844.0,20,3843.0,5
rb1805,20170908,20170907,210111000,3843.0,5624,305176,216346060.0,3844.0,15,3843.0,1
rb1805,20170908,20170907,210111500,3842.0,5630,305178,216576600.0,3843.0,3,3842.0,81
rb1805,20170908,20170907,210112000,3843.0,5668,305178,218036940.0,3844.0,31,3843.0,38
rb1805,20170908,20170907,210112500,3843.0,5698,305202,219189840.0,3844.0,31,3843.0,21
rb1805,20170908,20170907,210113000,3843.0,5698,305202,219189840.0,3844.0,12,3843.0,21
rb1805,20170908,20170907,210113500,3844.0,5702,305204,219343580.0,3844.0,8,3843.0,21
rb1805,20170908,20170907,210114000,3844.0,5702,305204,219343580.0,3844.0,11,3843.0,39
rb1805,20170908,20170907,210114500,3844.0,5728,305216,220343020.0,3845.0,127,3844.0,12
rb1805,20170908,20170907,210115000,3845.0,5732,305214,220496800.0,3845.0,122,3844.0,1
rb1805,20170908,20170907,210115500,3844.0,5734,305212,220573680.0,3844.0,8,3843.0,25
rb1805,20170908,20170907,210116000,3843.0,5786,305228,222572240.0,3845.0,122,3843.0,9
rb1805,20170908,20170907,210116500,3843.0,5786,305228,222572240.0,3844.0,6,3843.0,20
rb1805,20170908,20170907,210117000,3843.0,5818,305210,223802000.0,3843.0,27,3842.0,87
rb1805,20170908,20170907,210117500,3843.0,5820,305210,223878860.0,3843.0,27,3842.0,86
rb1805,20170908,20170907,210118000,3843.0,5846,305210,224878040.0,3843.0,16,3842.0,91
rb1805,20170908,20170907,210118500,3843.0,5882,305180,226261520.0,3844.0,13,3843.0,15
rb1805,20170908,20170907,210119000,3843.0,5882,305180,226261520.0,3844.0,13,3843.0,19
rb1805,20170908,20170907,210119500,3843.0,5920,305162,227721860.0,3844.0,20,3842.0,91
rb1805,20170908,20170907,210120000,3842.0,5922,305162,227798700.0,3843.0,6,3842.0,92
rb1805,20170908,20170907,210120500,3842.0,5926,305166,227952400.0,3843.0,5,3842.0,91
rb1805,20170908,20170907,210121000,3843.0,5930,305170,228106120.0,3843.0,3,3842.0,86
rb1805,20170908,20170907,210121500,3843.0,5948,305182,228797700.0,3843.0,16,3842.0,78
rb1805,20170908,20170907,210122000,3843.0,5966,305178,229489300.0,3843.0,34,3842.0,76
rb1805,20170908,20170907,210122500,3842.0,5984,305180,230180980.0,3843.0,29,3842.0,73
rb1805,20170908,20170907,210123000,3842.0,5984,305180,230180980.0,3843.0,29,3842.0,73
rb1805,20170908,20170907,210123500,3843.0,6074,305244,233639680.0,3844.0,15,3843.0,10
rb1805,20170908,20170907,210124000,3843.0,6078,305248,233793400.0,3844.0,10,3843.0,8
rb1805,20170908,20170907,210124500,3843.0,6078,305248,233793400.0,3844.0,12,3843.0,8
rb1805,20170908,20170907,210125000,3843.0,6092,305258,234331460.0,3844.0,16,3843.0,27
rb1805,20170908,20170907,210125500,3843.0,6096,305260,234485180.0,3844.0,18,3843.0,25
rb1805,20170908,20170907,210126000,3843.0,6096,305260,234485180.0,3844.0,18,3843.0,26
rb1805,20170908,20170907,210126500,3843.0,6096,305260,234485180.0,3844.0,43,3843.0,26
rb1805,20170908,20170907,210127000,3843.0,6100,305258,234638900.0,3844.0,43,3843.0,26
rb1805,20170908,20170907,210127500,3843.0,6100,305258,234638900.0,3844.0,45,3843.0,26
rb1805,20170908,20170907,210128000,3843.0,6152,305252,236637260.0,3843.0,13,3842.0,97
rb1805,20170908,20170907,210128500,3843.0,6154,305250,236714120.0,3843.0,19,3842.0,95
rb1805,20170908,20170907,210129000,3842.0,6182,305222,237789880.0,3843.0,19,3842.0,75
rb1805,20170908,20170907,210129500,3842.0,6316,305298,242938160.0,3843.0,23,3842.0,9
rb1805,20170908,20170907,210130000,3842.0,6336,305316,243706560.0,3842.0,12,3841.0,54
rb1805,20170908,20170907,210130500,3842.0,6350,305320,244244440.0,3842.0,5,3841.0,59
rb1805,20170908,20170907,210131000,3842.0,6360,305320,244628600.0,3842.0,2,3841.0,58
rb1805,20170908,20170907,210131500,3842.0,6368,305322,244935920.0,3843.0,13,3841.0,56
rb1805,20170908,20170907,210132000,3842.0,6368,305322,244935920.0,3843.0,13,3842.0,16
rb1805,20170908,20170907,210132500,3842.0,6372,305326,245089600.0,3843.0,13,3842.0,14
rb1805,20170908,20170907,210133000,3842.0,6372,305326,245089600.0,3843.0,13,3842.0,14
rb1805,20170908,20170907,210133500,3842.0,6382,305336,245473800.0,3843.0,14,3842.0,9
rb1805,20170908,20170907,210134000,3842.0,6386,305340,245627480.0,3843.0,17,3842.0,9
rb1805,20170908,20170907,210134500,3843.0,6440,305372,247702520.0,3844.0,52,3843.0,3
rb1805,20170908,20170907,210135000,3842.0,6448,305374,248009940.0,3843.0,21,3842.0,6
rb1805,20170908,20170907,210135500,3842.0,6472,305362,248932020.0,3843.0,14,3842.0,18
rb1805,20170908,20170907,210136000,3842.0,6472,305362,248932020.0,3843.0,12,3842.0,23
rb1805,20170908,20170907,210136500,3843.0,6474,305362,249008880.0,3843.0,24,3842.0,4
rb1805,20170908,20170907,210137000,3842.0,6482,305356,249316240.0,3842.0,4,3841.0,57
rb1805,20170908,20170907,210137500,3843.0,6496,305352,249854180.0,3843.0,32,3842.0,20
rb1805,20170908,20170907,210138000,3843.0,6512,305352,250468940.0,3843.0,50,3841.0,55
rb1805,20170908,20170907,210138500,3843.0,6514,305354,250545800.0,3843.0,44,3841.0,58
rb1805,20170908,20170907,210139000,3843.0,6514,305354,250545800.0,3843.0,44,3842.0,1
rb1805,20170908,20170907,210139500,3842.0,6516,305354,250622640.0,3842.0,1,3841.0,58
rb1805,20170908,20170907,210140000,3842.0,6526,305358,251006780.0,3843.0,45,3841.0,55
rb1805,20170908,20170907,210140500,3843.0,6528,305358,251083640.0,3843.0,46,3842.0,1
rb1805,20170908,20170907,210141000,3843.0,6530,305358,251160500.0,3843.0,45,3842.0,1
rb1805,20170908,20170907,210141500,3843.0,6530,305358,251160500.0,3843.0,45,3842.0,23
rb1805,20170908,20170907,210142000,3843.0,6530,305358,251160500.0,3843.0,45,3842.0,20
rb1805,20170908,20170907,210142500,3842.0,6544,305350,251698500.0,3843.0,38,3842.0,31
rb1805,20170908,20170907,210143000,3842.0,6618,305362,254542300.0,3843.0,2,3842.0,35
rb1805,20170908,20170907,210143500,3843.0,6622,305366,254696020.0,3844.0,50,3843.0,23
rb1805,20170908,20170907,210144000,3843.0,6622,305366,254696020.0,3844.0,50,3843.0,17
rb1805,20170908,20170907,210145000,3843.0,6626,305366,254849740.0,3844.0,50,3843.0,15
rb1805,20170908,20170907,210145500,3843.0,6654,305346,255925800.0,3843.0,51,3842.0,48
rb1805,20170908,20170907,210146000,3843.0,6728,305354,258769620.0,3843.0,17,3842.0,49
rb1805,20170908,20170907,210146500,3843.0,6744,305338,259384500.0,3843.0,10,3842.0,48
rb1805,20170908,20170907,210147000,3843.0,6748,305334,259538220.0,3843.0,8,3842.0,48
rb1805,20170908,20170907,210147500,3842.0,6750,305336,259615060.0,3843.0,8,3842.0,47
rb1805,20170908,20170907,210148000,3843.0,6764,305340,260153080.0,3843.0,2,3842.0,43
rb1805,20170908,20170907,210148500,3843.0,6764,305340,260153080.0,3843.0,2,3842.0,43
rb1805,20170908,20170907,210149000,3843.0,6768,305344,260306800.0,3844.0,60,3843.0,2
rb1805,20170908,20170907,210149500,3844.0,6770,305346,260383680.0,3844.0,61,3843.0,1
rb1805,20170908,20170907,210150000,3843.0,6772,305346,260460540.0,3844.0,62,3843.0,1
rb1805,20170908,20170907,210150500,3843.0,6774,305348,260537400.0,3844.0,62,3843.0,10
rb1805,20170908,20170907,210151000,3843.0,6774,305348,260537400.0,3844.0,57,3843.0,22
rb1805,20170908,20170907,210151500,3843.0,6774,305348,260537400.0,3844.0,65,3843.0,22
rb1805,20170908,20170907,210152000,3843.0,6786,305348,260998620.0,3844.0,62,3843.0,24
rb1805,20170908,20170907,210152500,3844.0,6792,305346,261229260.0,3844.0,59,3843.0,21
rb1805,20170908,20170907,210153000,3844.0,6792,305346,261229260.0,3844.0,59,3843.0,28
rb1805,20170908,20170907,210153500,3844.0,6828,305378,262613100.0,3844.0,41,3843.0,37
rb1805,20170908,20170907,210154000,3845.0,6914,305420,265918980.0,3845.0,149,3844.0,215
rb1805,20170908,20170907,210154500,3845.0,7216,305662,277530880.0,3846.0,66,3845.0,22
rb1805,20170908,20170907,210155000,3846.0,7350,305700,282684520.0,3847.0,37,3846.0,29
rb1805,20170908,20170907,210155500,3847.0,7356,305696,282915340.0,3847.0,4,3846.0,33
rb1805,20170908,20170907,210156000,3847.0,7386,305686,284069360.0,3848.0,55,3846.0,25
rb1805,20170908,20170907,210156500,3847.0,7388,305688,284146300.0,3848.0,58,3847.0,1
rb1805,20170908,20170907,210157000,3846.0,7396,305684,284454020.0,3847.0,14,3846.0,23
rb1805,20170908,20170907,210157500,3847.0,7408,305680,284915640.0,3847.0,6,3846.0,22
rb1805,20170908,20170907,210158000,3846.0,7412,305682,285069500.0,3847.0,6,3846.0,21
rb1805,20170908,20170907,210158500,3846.0,7472,305668,287377620.0,3847.0,34,3846.0,21
rb1805,20170908,20170907,210159000,3847.0,7474,305668,287454560.0,3847.0,33,3846.0,22
rb1805,20170908,20170907,210159500,3847.0,7474,305668,287454560.0,3847.0,36,3846.0,22
rb1805,20170908,20170907,210200000,3846.0,7478,305668,287608420.0,3847.0,36,3846.0,24
rb1805,20170908,20170907,210200500,3847.0,7680,305828,295380740.0,3849.0,17,3846.0,22
rb1805,20170908,20170907,210201000,3848.0,7686,305828,295611600.0,3848.0,4,3847.0,41
rb1805,20170908,20170907,210201500,3848.0,7746,305828,297919820.0,3848.0,11,3847.0,18
rb1805,20170908,20170907,210202000,3847.0,7788,305816,299535560.0,3847.0,18,3846.0,23
rb1805,20170908,20170907,210202500,3847.0,7820,305804,300766600.0,3847.0,9,3846.0,18
rb1805,20170908,20170907,210203000,3847.0,7834,305792,301305180.0,3847.0,3,3846.0,20
rb1805,20170908,20170907,210203500,3847.0,7834,305792,301305180.0,3847.0,9,3846.0,22
rb1805,20170908,20170907,210204000,3846.0,7854,305792,302074540.0,3847.0,1,3846.0,21
rb1805,20170908,20170907,210204500,3847.0,7856,305794,302151480.0,3848.0,15,3847.0,24
rb1805,20170908,20170907,210205000,3847.0,7858,305794,302228420.0,3848.0,8,3847.0,38
rb1805,20170908,20170907,210205500,3847.0,7860,305796,302305360.0,3848.0,8,3847.0,38
rb1805,20170908,20170907,210206000,3848.0,7878,305790,302997980.0,3849.0,22,3848.0,19
rb1805,20170908,20170907,210206500,3848.0,7882,305794,303151900.0,3849.0,26,3848.0,17
rb1805,20170908,20170907,210207000,3848.0,7958,305836,306076900.0,3850.0,91,3848.0,14
