instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20171019,20171018,183548500,3611.0,0,724588,0.0,0.0,0,0.0,0
rb1805,20171019,20171018,205900500,3607.0,646,724780,23301220.0,3607.0,129,3606.0,101
rb1805,20171019,20171018,210000500,3607.0,1132,724994,40832060.0,3609.0,37,3607.0,325
rb1805,20171019,20171018,210001000,3606.0,2372,724774,85558580.0,3607.0,1,3606.0,49
rb1805,20171019,20171018,210001500,3606.0,2910,724874,104957620.0,3606.0,203,3603.0,36
rb1805,20171019,20171018,210002000,3605.0,3332,724864,120164980.0,3605.0,49,3603.0,10
rb1805,20171019,20171018,210002500,3605.0,4274,725162,154101760.0,3606.0,243,3605.0,3
rb1805,20171019,20171018,210003000,3605.0,4572,725180,164844280.0,3605.0,35,3603.0,9
rb1805,20171019,20171018,210003500,3605.0,4692,725162,169169320.0,3605.0,53,3604.0,1
rb1805,20171019,20171018,210004000,3606.0,4866,725158,175442540.0,3606.0,181,3605.0,29
rb1805,20171019,20171018,210004500,3605.0,5034,725156,181499940.0,3606.0,126,3605.0,23
rb1805,20171019,20171018,210005000,3605.0,5466,725414,197071340.0,3604.0,1,3603.0,22
rb1805,20171019,20171018,210005500,3604.0,5684,725440,204926980.0,3605.0,35,3604.0,20
rb1805,20171019,20171018,210006000,3604.0,6094,725580,219697460.0,3604.0,54,3601.0,96
rb1805,20171019,20171018,210006500,3602.0,6416,725700,231292380.0,3601.0,3,3600.0,378
rb1805,20171019,20171018,210007000,3599.0,7520,725902,271041040.0,3601.0,66,3599.0,226
rb1805,20171019,20171018,210007500,3596.0,9008,725580,324558060.0,3596.0,8,3590.0,35
rb1805,20171019,20171018,210008000,3595.0,10198,725916,367350380.0,3596.0,4,3595.0,9
rb1805,20171019,20171018,210008500,3599.0,10650,725710,383606220.0,3599.0,89,3597.0,1
rb1805,20171019,20171018,210009000,3599.0,11018,725818,396846460.0,3599.0,50,3598.0,17
rb1805,20171019,20171018,210009500,3597.0,11310,725792,407349980.0,3597.0,40,3596.0,115
rb1805,20171019,20171018,210010000,3597.0,12270,726002,441896800.0,3601.0,119,3597.0,41
rb1805,20171019,20171018,210010500,3597.0,12830,726136,462044700.0,3598.0,1,3597.0,18
rb1805,20171019,20171018,210011000,3597.0,13206,726004,475568720.0,3597.0,33,3596.0,41
rb1805,20171019,20171018,210011500,3597.0,13434,726110,483768260.0,3598.0,30,3597.0,24
rb1805,20171019,20171018,210012000,3598.0,13600,726100,489738080.0,3598.0,27,3595.0,57
rb1805,20171019,20171018,210012500,3597.0,13654,726072,491680480.0,3598.0,38,3596.0,10
rb1805,20171019,20171018,210013000,3597.0,13716,726064,493910660.0,3598.0,21,3596.0,6
rb1805,20171019,20171018,210013500,3596.0,13788,726094,496500480.0,3596.0,19,3595.0,65
rb1805,20171019,20171018,210014000,3598.0,13888,726072,500097500.0,3599.0,12,3597.0,3
rb1805,20171019,20171018,210014500,3599.0,13984,726064,503550900.0,3600.0,15,3599.0,6
rb1805,20171019,20171018,210015000,3598.0,14120,726080,508443500.0,3598.0,1,3597.0,4
rb1805,20171019,20171018,210015500,3597.0,14278,725984,514127240.0,3598.0,10,3597.0,47
rb1805,20171019,20171018,210016000,3597.0,14462,726050,520745740.0,3598.0,18,3597.0,1
rb1805,20171019,20171018,210016500,3597.0,14554,726050,524055720.0,3599.0,178,3596.0,55
rb1805,20171019,20171018,210017000,3599.0,14678,726010,528517180.0,3599.0,167,3598.0,14
rb1805,20171019,20171018,210017500,3598.0,14688,726020,528876980.0,3599.0,186,3598.0,20
rb1805,20171019,20171018,210018000,3598.0,14700,726028,529308780.0,3599.0,184,3598.0,38
rb1805,20171019,20171018,210018500,3599.0,14776,726026,532043420.0,3599.0,190,3598.0,21
rb1805,20171019,20171018,210019000,3598.0,14878,726044,535712980.0,3598.0,17,3597.0,16
rb1805,20171019,20171018,210019500,3597.0,14932,726086,537655380.0,3597.0,17,3596.0,58
rb1805,20171019,20171018,210020000,3597.0,15002,726070,540173000.0,3597.0,4,3596.0,41
rb1805,20171019,20171018,210020500,3596.0,15152,726156,545567580.0,3598.0,50,3597.0,1
rb1805,20171019,20171018,210021000,3598.0,15174,726174,546358780.0,3598.0,80,3596.0,4
rb1805,20171019,20171018,210021500,3597.0,15204,726190,547437880.0,3598.0,84,3597.0,3
rb1805,20171019,20171018,210022000,3597.0,15242,726200,548804840.0,3598.0,92,3597.0,14
rb1805,20171019,20171018,210022500,3597.0,15326,726180,551826180.0,3597.0,4,3596.0,14
rb1805,20171019,20171018,210023000,3597.0,15450,726126,556286560.0,3598.0,87,3597.0,25
rb1805,20171019,20171018,210023500,3597.0,15526,726128,559020260.0,3597.0,29,3596.0,18
rb1805,20171019,20171018,210024000,3597.0,15654,726116,563623420.0,3597.0,40,3595.0,30
rb1805,20171019,20171018,210024500,3598.0,15754,726166,567220580.0,3598.0,52,3597.0,9
rb1805,20171019,20171018,210025000,3597.0,15870,726144,571392960.0,3598.0,71,3597.0,10
rb1805,20171019,20171018,210025500,3598.0,16020,726238,576788940.0,3598.0,41,3597.0,21
rb1805,20171019,20171018,210026000,3597.0,16140,726280,581106240.0,3599.0,147,3597.0,23
rb1805,20171019,20171018,210026500,3598.0,16258,726292,585352720.0,3599.0,106,3598.0,1
rb1805,20171019,20171018,210027000,3597.0,16324,726280,587726840.0,3598.0,19,3597.0,48
rb1805,20171019,20171018,210027500,3597.0,16380,726272,589741560.0,3599.0,106,3598.0,1
rb1805,20171019,20171018,210028000,3599.0,16390,726268,590101320.0,3599.0,106,3598.0,108
rb1805,20171019,20171018,210028500,3599.0,16432,726268,591612820.0,3599.0,93,3598.0,90
rb1805,20171019,20171018,210029000,3598.0,16670,726178,600178200.0,3600.0,55,3599.0,1
rb1805,20171019,20171018,210029500,3598.0,16768,726262,603704880.0,3599.0,4,3598.0,70
rb1805,20171019,20171018,210030000,3599.0,16866,726236,607232660.0,3600.0,28,3599.0,2
rb1805,20171019,20171018,210030500,3598.0,16910,726238,608816360.0,3600.0,24,3598.0,102
