instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170809,20170808,183211500,3722.0,0,158432,0.0,0.0,0,0.0,0
rb1805,20170809,20170808,205900500,3723.0,30,158408,1116900.0,3725.0,5,3722.0,1
rb1805,20170809,20170808,210000500,3723.0,114,158414,4245820.0,3723.0,113,3722.0,1
rb1805,20170809,20170808,210001000,3723.0,238,158398,8862300.0,3723.0,53,3722.0,3
rb1805,20170809,20170808,210001500,3723.0,262,158398,9755820.0,3723.0,41,3722.0,6
rb1805,20170809,20170808,210002000,3723.0,270,158400,10053640.0,3723.0,38,3722.0,5
rb1805,20170809,20170808,210002500,3723.0,298,158400,11096080.0,3723.0,24,3722.0,5
rb1805,20170809,20170808,210003000,3723.0,346,158396,12883120.0,3725.0,3,3723.0,5
rb1805,20170809,20170808,210003500,3726.0,358,158404,13330180.0,3727.0,1,3724.0,1
rb1805,20170809,20170808,210004000,3727.0,360,158404,13404720.0,3728.0,1,3727.0,1
rb1805,20170809,20170808,210004500,3727.0,366,158402,13628360.0,3727.0,9,3725.0,3
rb1805,20170809,20170808,210005000,3729.0,386,158402,14373800.0,3730.0,1,3728.0,4
rb1805,20170809,20170808,210005500,3730.0,390,158404,14522980.0,3731.0,1,3730.0,1
rb1805,20170809,20170808,210006000,3734.0,400,158404,14896260.0,3735.0,2,3732.0,2
rb1805,20170809,20170808,210006500,3739.0,426,158400,15867660.0,3740.0,39,3738.0,7
rb1805,20170809,20170808,210007000,3738.0,464,158404,17288100.0,3738.0,2,3736.0,3
rb1805,20170809,20170808,210007500,3739.0,470,158406,17512400.0,3740.0,4,3738.0,2
rb1805,20170809,20170808,210008000,3738.0,504,158402,18784060.0,3742.0,9,3736.0,2
rb1805,20170809,20170808,210008500,3737.0,522,158402,19457400.0,3739.0,1,3737.0,2
rb1805,20170809,20170808,210009000,3742.0,530,158402,19756660.0,3742.0,5,3739.0,7
rb1805,20170809,20170808,210009500,3742.0,538,158400,20056020.0,3742.0,1,3739.0,5
rb1805,20170809,20170808,210010000,3742.0,554,158404,20654440.0,3743.0,1,3742.0,2
rb1805,20170809,20170808,210010500,3740.0,564,158404,21028540.0,3741.0,4,3740.0,1
rb1805,20170809,20170808,210011000,3738.0,572,158402,21327640.0,3740.0,1,3738.0,7
rb1805,20170809,20170808,210011500,3737.0,618,158396,23047200.0,3738.0,1,3737.0,1
rb1805,20170809,20170808,210012000,3737.0,624,158398,23271400.0,3738.0,5,3736.0,1
rb1805,20170809,20170808,210012500,3737.0,624,158398,23271400.0,3737.0,2,3736.0,1
rb1805,20170809,20170808,210013000,3736.0,626,158398,23346120.0,3736.0,1,3731.0,21
rb1805,20170809,20170808,210013500,3736.0,626,158398,23346120.0,3736.0,1,3732.0,4
rb1805,20170809,20170808,210014000,3736.0,628,158398,23420840.0,3737.0,1,3736.0,2
rb1805,20170809,20170808,210014500,3738.0,630,158400,23495600.0,3738.0,2,3732.0,6
rb1805,20170809,20170808,210015000,3738.0,630,158400,23495600.0,3736.0,3,3732.0,3
rb1805,20170809,20170808,210015500,3738.0,630,158400,23495600.0,3736.0,1,3732.0,3
rb1805,20170809,20170808,210016000,3738.0,630,158400,23495600.0,3736.0,1,3732.0,3
rb1805,20170809,20170808,210016500,3738.0,630,158400,23495600.0,3735.0,6,3732.0,4
rb1805,20170809,20170808,210017000,3738.0,632,158400,23570360.0,3734.0,3,3732.0,1
rb1805,20170809,20170808,210017500,3734.0,638,158394,23794400.0,3735.0,6,3734.0,5
rb1805,20170809,20170808,210018000,3732.0,648,158390,24167720.0,3735.0,6,3732.0,1
rb1805,20170809,20170808,210018500,3732.0,648,158390,24167720.0,3734.0,1,3731.0,11
rb1805,20170809,20170808,210019000,3734.0,650,158388,24242400.0,3735.0,8,3734.0,1
rb1805,20170809,20170808,210019500,3735.0,670,158402,24989360.0,3736.0,5,3731.0,13
rb1805,20170809,20170808,210020000,3735.0,680,158404,25362780.0,3736.0,6,3731.0,12
rb1805,20170809,20170808,210020500,3735.0,680,158404,25362780.0,3735.0,6,3734.0,50
rb1805,20170809,20170808,210021000,3734.0,772,158474,28798060.0,3735.0,1,3734.0,4
rb1805,20170809,20170808,210021500,3734.0,784,158482,29246140.0,3735.0,1,3731.0,12
rb1805,20170809,20170808,210022000,3735.0,788,158480,29395540.0,3736.0,6,3732.0,9
rb1805,20170809,20170808,210022500,3735.0,788,158480,29395540.0,3736.0,7,3733.0,2
rb1805,20170809,20170808,210023000,3735.0,788,158480,29395540.0,3735.0,9,3733.0,2
rb1805,20170809,20170808,210023500,3735.0,788,158480,29395540.0,3734.0,1,3732.0,6
rb1805,20170809,20170808,210024000,3732.0,804,158472,29992820.0,3734.0,2,3732.0,3
rb1805,20170809,20170808,210024500,3734.0,810,158466,30216860.0,3735.0,7,3734.0,6
rb1805,20170809,20170808,210025000,3735.0,822,158458,30665020.0,3736.0,8,3734.0,3
rb1805,20170809,20170808,210025500,3735.0,822,158458,30665020.0,3736.0,10,3735.0,2
rb1805,20170809,20170808,210026000,3736.0,840,158440,31337420.0,3736.0,9,3734.0,8
rb1805,20170809,20170808,210026500,3735.0,856,158428,31934920.0,3736.0,3,3734.0,3
rb1805,20170809,20170808,210027000,3734.0,858,158426,32009600.0,3736.0,3,3735.0,2
rb1805,20170809,20170808,210027500,3734.0,858,158426,32009600.0,3736.0,3,3735.0,2
rb1805,20170809,20170808,210028000,3735.0,860,158426,32084300.0,3736.0,3,3735.0,1
rb1805,20170809,20170808,210028500,3735.0,872,158428,32532420.0,3735.0,1,3732.0,5
rb1805,20170809,20170808,210029000,3732.0,892,158416,33279160.0,3736.0,7,3732.0,3
rb1805,20170809,20170808,210029500,3732.0,892,158416,33279160.0,3735.0,3,3732.0,3
rb1805,20170809,20170808,210030000,3732.0,892,158416,33279160.0,3736.0,15,3733.0,2
rb1805,20170809,20170808,210030500,3732.0,892,158416,33279160.0,3735.0,6,3733.0,2
rb1805,20170809,20170808,210031000,3732.0,892,158416,33279160.0,3735.0,9,3733.0,2
rb1805,20170809,20170808,210031500,3732.0,892,158416,33279160.0,3735.0,11,3733.0,2
rb1805,20170809,20170808,210032000,3732.0,892,158416,33279160.0,3735.0,11,3732.0,4
rb1805,20170809,20170808,210032500,3732.0,892,158416,33279160.0,3735.0,12,3733.0,2
rb1805,20170809,20170808,210033000,3732.0,892,158416,33279160.0,3735.0,12,3734.0,2
rb1805,20170809,20170808,210033500,3735.0,902,158406,33652660.0,3735.0,4,3734.0,2
rb1805,20170809,20170808,210034000,3733.0,914,158402,34100660.0,3735.0,6,3732.0,4
rb1805,20170809,20170808,210034500,3735.0,916,158402,34175360.0,3735.0,6,3732.0,4
rb1805,20170809,20170808,210035000,3735.0,916,158402,34175360.0,3733.0,5,3732.0,4
rb1805,20170809,20170808,210035500,3733.0,926,158402,34548660.0,3735.0,7,3733.0,5
rb1805,20170809,20170808,210036000,3733.0,926,158402,34548660.0,3735.0,7,3734.0,1
rb1805,20170809,20170808,210036500,3733.0,928,158400,34623320.0,3735.0,4,3733.0,12
rb1805,20170809,20170808,210037000,3735.0,948,158414,35370320.0,3734.0,2,3733.0,15
rb1805,20170809,20170808,210037500,3734.0,952,158418,35519680.0,3736.0,34,3734.0,3
rb1805,20170809,20170808,210038000,3735.0,954,158416,35594380.0,3736.0,37,3735.0,1
rb1805,20170809,20170808,210038500,3735.0,956,158416,35669080.0,3736.0,33,3734.0,7
rb1805,20170809,20170808,210039000,3735.0,956,158416,35669080.0,3735.0,1,3734.0,7
rb1805,20170809,20170808,210039500,3735.0,956,158416,35669080.0,3735.0,2,3734.0,7
rb1805,20170809,20170808,210040000,3735.0,962,158412,35893180.0,3736.0,34,3735.0,1
rb1805,20170809,20170808,210040500,3735.0,968,158406,36117280.0,3736.0,33,3734.0,17
rb1805,20170809,20170808,210041000,3736.0,992,158424,37013520.0,3736.0,32,3735.0,1
rb1805,20170809,20170808,210041500,3736.0,998,158422,37237640.0,3736.0,30,3732.0,4
rb1805,20170809,20170808,210042000,3735.0,1000,158422,37312340.0,3736.0,31,3733.0,10
rb1805,20170809,20170808,210042500,3736.0,1008,158422,37611220.0,3734.0,1,3733.0,11
rb1805,20170809,20170808,210043000,3734.0,1010,158420,37685900.0,3736.0,27,3734.0,6
rb1805,20170809,20170808,210043500,3734.0,1010,158420,37685900.0,3736.0,27,3734.0,4
rb1805,20170809,20170808,210044000,3734.0,1010,158420,37685900.0,3736.0,28,3734.0,4
rb1805,20170809,20170808,210044500,3734.0,1010,158420,37685900.0,3736.0,28,3734.0,4
rb1805,20170809,20170808,210045000,3734.0,1012,158420,37760580.0,3735.0,1,3734.0,3
rb1805,20170809,20170808,210045500,3734.0,1012,158420,37760580.0,3735.0,1,3734.0,4
rb1805,20170809,20170808,210046000,3734.0,1012,158420,37760580.0,3735.0,1,3734.0,4
rb1805,20170809,20170808,210046500,3734.0,1012,158420,37760580.0,3735.0,1,3734.0,4
rb1805,20170809,20170808,210047000,3734.0,1012,158420,37760580.0,3735.0,2,3734.0,4
rb1805,20170809,20170808,210047500,3734.0,1014,158422,37835260.0,3735.0,3,3734.0,2
rb1805,20170809,20170808,210048000,3734.0,1018,158422,37984620.0,3734.0,4,3733.0,9
rb1805,20170809,20170808,210048500,3734.0,1020,158420,38059300.0,3734.0,3,3733.0,9
rb1805,20170809,20170808,210049000,3734.0,1022,158420,38133980.0,3734.0,3,3733.0,9
rb1805,20170809,20170808,210049500,3734.0,1022,158420,38133980.0,3734.0,4,3733.0,9
rb1805,20170809,20170808,210050000,3734.0,1022,158420,38133980.0,3734.0,3,3733.0,9
rb1805,20170809,20170808,210050500,3734.0,1022,158420,38133980.0,3734.0,4,3733.0,9
rb1805,20170809,20170808,210051000,3734.0,1022,158420,38133980.0,3734.0,4,3733.0,10
rb1805,20170809,20170808,210051500,3734.0,1030,158420,38432700.0,3735.0,3,3733.0,4
rb1805,20170809,20170808,210052000,3734.0,1030,158420,38432700.0,3734.0,1,3733.0,3
rb1805,20170809,20170808,210052500,3734.0,1030,158420,38432700.0,3734.0,4,3733.0,3
rb1805,20170809,20170808,210053000,3733.0,1036,158420,38656680.0,3733.0,16,3732.0,4
rb1805,20170809,20170808,210053500,3733.0,1042,158418,38880660.0,3733.0,13,3732.0,4
rb1805,20170809,20170808,210054000,3733.0,1048,158424,39104640.0,3733.0,7,3732.0,7
rb1805,20170809,20170808,210054500,3733.0,1052,158424,39253940.0,3733.0,6,3732.0,6
