instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170830,20170829,184032500,3764.0,0,290352,0.0,0.0,0,0.0,0
rb1805,20170830,20170829,205900500,3771.0,364,290564,13726440.0,3771.0,1,3770.0,7
rb1805,20170830,20170829,210000500,3776.0,544,290638,20519260.0,3776.0,5,3775.0,35
rb1805,20170830,20170829,210001000,3776.0,1066,290618,40221860.0,3777.0,4,3776.0,8
rb1805,20170830,20170829,210001500,3776.0,1294,290556,48828160.0,3776.0,5,3774.0,1
rb1805,20170830,20170829,210002000,3774.0,1392,290542,52526200.0,3775.0,21,3772.0,23
rb1805,20170830,20170829,210002500,3772.0,1428,290550,53884780.0,3774.0,1,3772.0,21
rb1805,20170830,20170829,210003000,3775.0,1438,290560,54262220.0,3776.0,17,3775.0,1
rb1805,20170830,20170829,210003500,3776.0,1514,290560,57131240.0,3776.0,7,3774.0,1
rb1805,20170830,20170829,210004000,3776.0,1596,290574,60226460.0,3775.0,11,3774.0,1
rb1805,20170830,20170829,210004500,3775.0,1628,290582,61434360.0,3775.0,2,3774.0,1
rb1805,20170830,20170829,210005000,3776.0,1680,290572,63397540.0,3776.0,22,3774.0,1
rb1805,20170830,20170829,210005500,3776.0,1800,290562,67927780.0,3776.0,2,3774.0,1
rb1805,20170830,20170829,210006000,3776.0,1854,290534,69966780.0,3777.0,18,3776.0,29
rb1805,20170830,20170829,210006500,3777.0,2000,290512,75478600.0,3777.0,17,3772.0,14
rb1805,20170830,20170829,210007000,3774.0,2050,290534,77365940.0,3774.0,17,3772.0,17
rb1805,20170830,20170829,210007500,3774.0,2082,290532,78573620.0,3774.0,4,3772.0,17
rb1805,20170830,20170829,210008000,3773.0,2124,290550,80158780.0,3774.0,6,3773.0,6
rb1805,20170830,20170829,210008500,3773.0,2144,290540,80913400.0,3773.0,6,3772.0,49
rb1805,20170830,20170829,210009000,3774.0,2178,290534,82196440.0,3774.0,2,3773.0,28
rb1805,20170830,20170829,210009500,3774.0,2208,290552,83328480.0,3775.0,1,3774.0,3
rb1805,20170830,20170829,210010000,3775.0,2216,290558,83630480.0,3776.0,26,3775.0,4
rb1805,20170830,20170829,210010500,3773.0,2304,290602,86952600.0,3776.0,16,3774.0,1
rb1805,20170830,20170829,210011000,3774.0,2322,290594,87632060.0,3775.0,9,3773.0,14
rb1805,20170830,20170829,210011500,3774.0,2324,290594,87707540.0,3775.0,9,3774.0,1
rb1805,20170830,20170829,210012000,3775.0,2342,290590,88386980.0,3775.0,18,3774.0,28
rb1805,20170830,20170829,210012500,3776.0,2388,290592,90123580.0,3776.0,19,3775.0,8
rb1805,20170830,20170829,210013000,3776.0,2410,290592,90954060.0,3775.0,2,3774.0,26
