instrument,tradingday,calendarday,time,lastp,volume,openinterest,turnover,ask1,asksz1,bid1,bidsz1
rb1805,20170928,20170927,183920500,3520.0,0,484664,0.0,0.0,0,0.0,0
rb1805,20170928,20170927,205900500,3526.0,242,484618,8532920.0,3527.0,10,3526.0,121
rb1805,20170928,20170927,210000500,3528.0,424,484672,14953920.0,3529.0,1,3528.0,45
rb1805,20170928,20170927,210001000,3529.0,1368,484418,48269640.0,3535.0,87,3529.0,14
rb1805,20170928,20170927,210001500,3535.0,1822,484510,64315840.0,3537.0,59,3535.0,43
rb1805,20170928,20170927,210002000,3530.0,2062,484470,72796440.0,3532.0,1,3530.0,415
rb1805,20170928,20170927,210002500,3537.0,3146,484178,111088960.0,3537.0,301,3531.0,1
rb1805,20170928,20170927,210003000,3531.0,4266,483758,150680460.0,3531.0,3,3530.0,342
rb1805,20170928,20170927,210003500,3531.0,4976,483980,175747460.0,3533.0,8,3531.0,64
rb1805,20170928,20170927,210004000,3535.0,5108,484012,180411140.0,3535.0,189,3533.0,161
rb1805,20170928,20170927,210004500,3531.0,5482,484066,193624380.0,3534.0,4,3531.0,68
rb1805,20170928,20170927,210005000,3535.0,6416,484284,226634320.0,3536.0,56,3535.0,106
rb1805,20170928,20170927,210005500,3535.0,6502,484346,229674420.0,3536.0,72,3535.0,73
rb1805,20170928,20170927,210006000,3532.0,7080,484730,250107900.0,3534.0,1,3532.0,1
rb1805,20170928,20170927,210006500,3532.0,7164,484754,253075880.0,3534.0,79,3533.0,1
rb1805,20170928,20170927,210007000,3533.0,7180,484754,253641160.0,3533.0,9,3531.0,44
rb1805,20170928,20170927,210007500,3532.0,7204,484754,254488620.0,3532.0,2,3531.0,33
rb1805,20170928,20170927,210008000,3532.0,7240,484750,255759960.0,3532.0,5,3531.0,50
rb1805,20170928,20170927,210008500,3532.0,7318,484788,258514560.0,3533.0,51,3532.0,50
rb1805,20170928,20170927,210009000,3532.0,7404,484724,261552080.0,3533.0,59,3532.0,7
rb1805,20170928,20170927,210009500,3532.0,7450,484690,263177060.0,3532.0,13,3531.0,25
rb1805,20170928,20170927,210010000,3531.0,7716,484588,272569720.0,3531.0,60,3530.0,70
rb1805,20170928,20170927,210010500,3531.0,7878,484462,278289900.0,3531.0,2,3530.0,96
rb1805,20170928,20170927,210011000,3531.0,7946,484440,280691440.0,3532.0,4,3531.0,36
rb1805,20170928,20170927,210011500,3532.0,8012,484466,283022140.0,3533.0,33,3531.0,22
rb1805,20170928,20170927,210012000,3531.0,8026,484474,283516580.0,3532.0,19,3531.0,27
rb1805,20170928,20170927,210012500,3530.0,8096,484472,285987980.0,3531.0,5,3530.0,61
rb1805,20170928,20170927,210013000,3531.0,8120,484476,286835440.0,3532.0,23,3531.0,201
rb1805,20170928,20170927,210013500,3532.0,8172,484448,288672080.0,3532.0,54,3531.0,224
rb1805,20170928,20170927,210014000,3532.0,8342,484454,294676480.0,3533.0,32,3532.0,3
rb1805,20170928,20170927,210014500,3531.0,8368,484454,295594720.0,3532.0,2,3531.0,214
rb1805,20170928,20170927,210015000,3532.0,8386,484448,296230480.0,3533.0,33,3532.0,7
rb1805,20170928,20170927,210015500,3532.0,8418,484454,297360600.0,3532.0,28,3531.0,223
rb1805,20170928,20170927,210016000,3532.0,8486,484440,299762380.0,3533.0,35,3532.0,10
rb1805,20170928,20170927,210016500,3533.0,8664,484302,306052120.0,3534.0,13,3533.0,26
rb1805,20170928,20170927,210017000,3533.0,8778,484296,310079500.0,3534.0,18,3533.0,14
rb1805,20170928,20170927,210017500,3534.0,8826,484302,311775840.0,3535.0,182,3534.0,17
rb1805,20170928,20170927,210018000,3534.0,8838,484312,312199920.0,3535.0,183,3534.0,46
rb1805,20170928,20170927,210018500,3535.0,9276,484530,327683780.0,3537.0,49,3535.0,7
rb1805,20170928,20170927,210019000,3537.0,9294,484532,328320200.0,3537.0,51,3536.0,6
rb1805,20170928,20170927,210019500,3536.0,9418,484444,332705960.0,3537.0,2,3536.0,2
rb1805,20170928,20170927,210020000,3537.0,9450,484438,333837780.0,3538.0,111,3537.0,6
rb1805,20170928,20170927,210020500,3538.0,9626,484368,340064560.0,3538.0,29,3537.0,9
rb1805,20170928,20170927,210021000,3538.0,9826,484378,347140560.0,3538.0,117,3537.0,22
rb1805,20170928,20170927,210021500,3537.0,10108,484518,357117400.0,3539.0,112,3538.0,103
rb1805,20170928,20170927,210022000,3539.0,10352,484532,365752380.0,3540.0,113,3539.0,8
