Datetime,Open,High,Low,Close,Volume
2018-01-21 17:00:00,11811.2,11820.1,11568.11,11674.95,4444367.79
2018-01-21 18:00:00,11674.95,11850,11643.9,11721.49,3692276.08
2018-01-21 19:00:00,11721.49,12163,11690.41,12160.08,3039911.47
2018-01-21 20:00:00,12160.08,12221.99,11901,11920,2730773.34
2018-01-21 21:00:00,11920,12150,11920,11955.18,2804063.46
2018-01-21 22:00:00,11955.18,12050,11650,11716.6,2841570.31
2018-01-21 23:00:00,11716.6,11842.99,11500.95,11502,2583101.37
2018-01-22 00:00:00,11502,11502,11122,11236.7,4481309.18
2018-01-22 01:00:00,11236.7,11400,11100,11310.03,3612540.06
2018-01-22 02:00:00,11310.03,11389.45,11197.5,11362.56,1017919.94
2018-01-22 03:00:00,11362.56,11529.26,11345.21,11398.3,1208058.16
2018-01-22 04:00:00,11398.3,11434.29,11018,11071.83,1594264.53
2018-01-22 05:00:00,11071.83,11220.99,11031.67,11220.99,1664944.03
2018-01-22 06:00:00,11220.99,11411.27,11100,11152.84,1121468.21
2018-01-22 07:00:00,11152.84,11500,11101.64,11500,2073588.07
2018-01-22 08:00:00,11500,11756.12,11454.05,11749.05,2765997.61
2018-01-22 09:00:00,11749.05,11761.94,11312.84,11375.11,2876000.6
2018-01-22 10:00:00,11375.11,11547.41,11195.41,11545.95,2495525.1
2018-01-22 11:00:00,11545.95,11545.95,11330.01,11432.05,2735967.21
2018-01-22 12:00:00,11432.05,11700,11410.16,11558.05,4473624.33
2018-01-22 13:00:00,11558.05,11577.7,11400,11439.63,3433192.16
2018-01-22 14:00:00,11439.63,11640,11439.5,11567.75,2971076.03
2018-01-22 15:00:00,11567.75,11710.31,11441.35,11691.19,3095087.18
2018-01-22 16:00:00,11691.19,11860,11655.22,11708.44,4423864.3
2018-01-22 17:00:00,11708.44,11800,11600,11705.95,3081408.65
2018-01-22 18:00:00,11705.95,11727.83,11610.7,11707.95,2329604.58
2018-01-22 19:00:00,11707.95,11720,11250,11251.05,2566916.07
2018-01-22 20:00:00,11251.05,11350,11157.99,11260.05,2844379.5
2018-01-22 21:00:00,11260.05,11272.65,10356,10573.76,4728781.48
2018-01-22 22:00:00,10573.76,10888,10533,10665.32,4285902.14
2018-01-22 23:00:00,10665.32,10690.03,10260,10348.69,4180733.29
2018-01-23 00:00:00,10348.69,10699,10348.69,10550.36,4235237.4
2018-01-23 01:00:00,10550.36,10735,10528,10557.99,2170175.74
2018-01-23 02:00:00,10557.99,10649.88,10400,10429,2368150.25
2018-01-23 03:00:00,10429,10700,10353.67,10577.96,1366333.28
2018-01-23 04:00:00,10577.96,10599.2,10300,10390.35,1591131.13
2018-01-23 05:00:00,10390.35,10390.35,10022,10349.67,3975183.89
2018-01-23 06:00:00,10349.67,10693.72,10286.1,10663.12,2362655.95
2018-01-23 07:00:00,10663.12,10863.36,10531.3,10800.98,3029652.96
2018-01-23 08:00:00,10800.98,10880.7,10585,10761.79,2991509.72
2018-01-23 09:00:00,10761.79,10887.94,10628.39,10632.91,3729759.42
2018-01-23 10:00:00,10632.91,10799.9,10583.13,10717.67,2553261.77
2018-01-23 11:00:00,10717.67,10970.4,10709.05,10840.3,2176653
2018-01-23 12:00:00,10840.3,10918,10580,10582.3,2359065.31
2018-01-23 13:00:00,10582.3,10604.13,10233.94,10424.4,3780821.86
2018-01-23 14:00:00,10424.4,10535.87,10212.11,10354.51,2716244.66
2018-01-23 15:00:00,10354.51,10392.37,10163.42,10275.42,2965384.61
2018-01-23 16:00:00,10275.42,10624.19,10123.01,10603.31,2281007.52
2018-01-23 17:00:00,10603.31,10605.95,10380,10399.81,2109164.84
2018-01-23 18:00:00,10399.81,10510,10213.62,10300,1922015.36
2018-01-23 19:00:00,10300,10394.92,10000,10117,2073471.39
2018-01-23 20:00:00,10117,10392.41,10047.27,10199.85,3415643.25
2018-01-23 21:00:00,10199.85,10438.51,10109.34,10308.51,3032318.11
2018-01-23 22:00:00,10308.51,10499.99,10240.93,10473.34,4287332.56
2018-01-23 23:00:00,10473.34,10799,10418,10702.25,5058809.01
2018-01-24 00:00:00,10702.25,11325,10694.15,11307.81,5904560.23
2018-01-24 01:00:00,11307.81,11324.49,11022.88,11079.32,3680863.92
2018-01-24 02:00:00,11079.32,11299,11064.07,11161.05,2173405.99
2018-01-24 03:00:00,11161.05,11188.74,10883.1,10956.55,1428946.1
2018-01-24 04:00:00,10956.55,11136.77,10820,11082.42,1198730.18
2018-01-24 05:00:00,11082.42,11112.57,10906.63,10983.62,1127511.81
2018-01-24 06:00:00,10983.62,11177.35,10973.05,11027.96,1358713.15
2018-01-24 07:00:00,11027.96,11075.47,10700.01,10795.9,2086453.93
2018-01-24 08:00:00,10795.9,10834.27,10454.09,10500.32,3415383.78
2018-01-24 09:00:00,10500.32,10731.48,10350,10370.75,5608196.01
2018-01-24 10:00:00,10370.75,10749.94,10370,10671.8,3918866.7
2018-01-24 11:00:00,10671.8,10849.66,10576.51,10760,4312776.56
2018-01-24 12:00:00,10760,10799,10450,10591.33,3202917.04
2018-01-24 13:00:00,10591.33,10678.29,10527.82,10607.48,3063730.77
2018-01-24 14:00:00,10607.48,11034.97,10560.55,10883.55,5119718.33
2018-01-24 15:00:00,10883.55,11050,10761,10886.05,4770449.76
2018-01-24 16:00:00,10886.05,10988.58,10808.36,10824.99,3865754.34
2018-01-24 17:00:00,10824.99,10950,10707.33,10929.53,2963832.39
2018-01-24 18:00:00,10929.53,11065.96,10841,11012.2,4054728.32
2018-01-24 19:00:00,11012.2,11180,10860,11060.11,4494458.02
2018-01-24 20:00:00,11060.11,11398.2,11000,11288.34,4584512.5
2018-01-24 21:00:00,11288.34,11357.44,11164.9,11305,5151709.25
2018-01-24 22:00:00,11305,11490.2,11185.3,11283.42,4166274.08
2018-01-24 23:00:00,11283.42,11288.94,11060.1,11066.1,4418287.36
2018-01-25 00:00:00,11066.1,11121.29,10956,11074,4702948.02
2018-01-25 01:00:00,11074,11125,10872.05,11079,3464963.71
2018-01-25 02:00:00,11079,11166.08,10969.51,11027.48,3018605.97
2018-01-25 03:00:00,11027.48,11234.73,10976.12,11190.85,1589406.65
2018-01-25 04:00:00,11190.85,11240.99,11100.97,11126.03,1149843.86
2018-01-25 05:00:00,11126.03,11240,11100,11207.37,1503343.62
2018-01-25 06:00:00,11207.37,11239.52,11001.01,11076.49,1605948.59
2018-01-25 07:00:00,11076.49,11358,11050.12,11357.98,3069721.07
2018-01-25 08:00:00,11357.98,11389.88,11200,11271.94,3701883.61
2018-01-25 09:00:00,11271.94,11390.53,11160.27,11259,5423838.54
2018-01-25 10:00:00,11259,11700,11180,11576.06,3318291.9
2018-01-25 11:00:00,11576.06,11900,11540.1,11695,6393597.5
2018-01-25 12:00:00,11695,11702.89,11500,11510.65,5150270.45
2018-01-25 13:00:00,11510.65,11631.72,11500,11578.95,4401128.75
2018-01-25 14:00:00,11578.95,11650,11500,11500.62,3633918.83
2018-01-25 15:00:00,11500.62,11569.95,11458,11499.9,3613625.82
2018-01-25 16:00:00,11499.9,11499.95,11299.82,11317.15,4339904.81
2018-01-25 17:00:00,11317.15,11400,11200,11374.11,4290416.17
2018-01-25 18:00:00,11374.11,11442,11300,11380.24,3992481.49
2018-01-25 19:00:00,11380.24,11414.99,11170.76,11213.29,3682540.02
2018-01-25 20:00:00,11213.29,11248.5,11047.26,11071,3817016.19
2018-01-25 21:00:00,11071,11275.8,11069.19,11229.01,3610434.18
2018-01-25 22:00:00,11229.01,11290.98,11157.05,11186.07,3651060.39
2018-01-25 23:00:00,11186.07,11200,11000,11058.01,3727560.46
2018-01-26 00:00:00,11058.01,11220.6,11000,11024.58,3319968.08
2018-01-26 01:00:00,11024.58,11050,11000.01,11050,2317814.13
2018-01-26 02:00:00,11050,11285,11048.76,11270.05,2032684.63
2018-01-26 03:00:00,11270.05,11300,11200,11237.01,1069616.36
